Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-12;0400;-3.54;
2020-01-12;0500;-3.54;
2020-01-12;0600;-3.54;
2020-01-12;0700;-3.54;
2020-01-12;0800;-3.54;
2020-01-12;0900;-.085;
2020-01-12;1000;332.842;
2020-01-12;1100;1220.309;
2020-01-12;1200;2149.645;
2020-01-12;1300;2940.728;
2020-01-12;1400;3532.97;
2020-01-12;1500;3889.502;
2020-01-12;1600;3613.551;
2020-01-12;1700;3701.98;
2020-01-12;1800;2882.796;
2020-01-12;1900;1787.456;
2020-01-12;2000;1296.214;
2020-01-12;2100;360.082;
2020-01-12;2200;50.581;
2020-01-12;2300;-3.54;
2020-01-13;0000;-3.54;
2020-01-13;0100;-3.54;
2020-01-13;0200;-3.54;
2020-01-13;0300;-3.54;
2020-01-13;0400;-3.538;
2020-01-13;0500;-3.54;
2020-01-13;0600;-3.35;
2020-01-13;0700;-3.536;
2020-01-13;0800;-3.54;
2020-01-13;0900;.26;
2020-01-13;1000;343.594;
2020-01-13;1100;1122.962;
2020-01-13;1200;2089.528;
2020-01-13;1300;2875.995;
2020-01-13;1400;3521.049;
2020-01-13;1500;4094.526;
2020-01-13;1600;3528.662;
2020-01-13;1700;3944.005;
2020-01-13;1800;2637.098;
2020-01-13;1900;1753.912;
2020-01-13;2000;1534.211;
2020-01-13;2100;425.501;
2020-01-13;2200;179.01;
2020-01-13;2300;-3.54;
2020-01-14;0000;-3.54;
2020-01-14;0100;-3.54;
2020-01-14;0200;-3.54;
2020-01-14;0300;-3.54;
2020-01-14;0400;-3.54;
2020-01-14;0500;-3.54;
2020-01-14;0600;-3.455;
2020-01-14;0700;-3.54;
2020-01-14;0800;-3.54;
2020-01-14;0900;-1.179;
2020-01-14;1000;322.421;
2020-01-14;1100;1180.885;
2020-01-14;1200;2082.739;
2020-01-14;1300;2861.699;
2020-01-14;1400;3439.93;
